"";"weights";"n_sim";"mu";"N";"lift";"sd";"power_ttest";"power_mwtest"
"475";"9010";1000;5;50;2;2;0,063;0,051
"476";"9901";1000;5;50;2;2;0,058;0,006
"477";"5050";1000;5;50;3;2;0,061;0,054
"478";"7525";1000;5;50;3;2;0,053;0,046
"479";"9010";1000;5;50;3;2;0,061;0,053
"480";"9901";1000;5;50;3;2;0,07;0,008
"481";"5050";1000;5;50;4;2;0,065;0,057
"482";"7525";1000;5;50;4;2;0,06;0,045
"483";"9010";1000;5;50;4;2;0,066;0,043
"484";"9901";1000;5;50;4;2;0,073;0,007
"485";"5050";1000;5;50;5;2;0,071;0,07
"486";"7525";1000;5;50;5;2;0,057;0,065
"487";"9010";1000;5;50;5;2;0,062;0,066
"488";"9901";1000;5;50;5;2;0,061;0,014
"489";"5050";1000;5;50;6,00000000000001;2;0,075;0,077
"490";"7525";1000;5;50;6,00000000000001;2;0,07;0,068
"491";"9010";1000;5;50;6,00000000000001;2;0,064;0,042
"492";"9901";1000;5;50;6,00000000000001;2;0,091;0,015
"493";"5050";1000;5;50;7,00000000000001;2;0,079;0,096
"494";"7525";1000;5;50;7,00000000000001;2;0,078;0,057
"495";"9010";1000;5;50;7,00000000000001;2;0,062;0,054
"496";"9901";1000;5;50;7,00000000000001;2;0,087;0,015
"497";"5050";1000;5;50;8,00000000000001;2;0,115;0,105
